========================================
QS complex  d=20  N=861  rng(1)
Started: 2026-05-10 03:05:49
========================================

--- 生成约束矩阵 ---
qsmom_complex: n=861, m=606452 (5220.39s)
convertCtoR:   n_r=1722, m_r=606452

--- ManiCSDP (complex SDP) ---
ManiCSDP is starting...
CSDP size: n = 861, m = 606452
Iter 114, obj:-49.67979548, gap:2.9e-04, pinf:6.9e-04, dinf:1.4e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:308.74s
Iter 115, obj:-49.67979328, gap:2.9e-04, pinf:6.8e-04, dinf:1.4e-04, gradnorm:1.6e-02, r:8, p:14, sigma:64.000, time:311.29s
Iter 116, obj:-49.67930940, gap:2.8e-04, pinf:6.8e-04, dinf:1.3e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:313.87s
Iter 117, obj:-49.67824759, gap:2.6e-04, pinf:6.7e-04, dinf:1.3e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:316.42s
Iter 118, obj:-49.67521015, gap:2.6e-04, pinf:6.7e-04, dinf:1.3e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:319.00s
Iter 119, obj:-49.67447198, gap:2.2e-04, pinf:6.7e-04, dinf:1.3e-04, gradnorm:1.9e-02, r:8, p:14, sigma:64.000, time:321.59s
Iter 120, obj:-49.66736494, gap:1.7e-04, pinf:6.7e-04, dinf:1.2e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:324.18s
Iter 121, obj:-49.67009525, gap:1.7e-04, pinf:6.7e-04, dinf:1.2e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:326.76s
Iter 122, obj:-49.66508333, gap:1.5e-04, pinf:6.6e-04, dinf:1.2e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:329.35s
Iter 123, obj:-49.66613289, gap:1.4e-04, pinf:6.6e-04, dinf:1.2e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:331.92s
Iter 124, obj:-49.66350391, gap:1.3e-04, pinf:6.7e-04, dinf:1.1e-04, gradnorm:2.2e-02, r:8, p:14, sigma:64.000, time:334.50s
Iter 125, obj:-49.66624105, gap:1.5e-04, pinf:6.6e-04, dinf:1.2e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:337.07s
Iter 126, obj:-49.66777220, gap:1.5e-04, pinf:6.6e-04, dinf:1.2e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:339.65s
Iter 127, obj:-49.66679121, gap:1.6e-04, pinf:6.6e-04, dinf:1.2e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:342.22s
Iter 128, obj:-49.66811143, gap:1.5e-04, pinf:6.5e-04, dinf:1.1e-04, gradnorm:1.9e-02, r:8, p:14, sigma:64.000, time:344.80s
Iter 129, obj:-49.66685531, gap:1.4e-04, pinf:6.4e-04, dinf:1.1e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:347.38s
Iter 130, obj:-49.66508072, gap:1.4e-04, pinf:6.5e-04, dinf:1.0e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:349.96s
Iter 131, obj:-49.66362420, gap:1.3e-04, pinf:6.5e-04, dinf:1.0e-04, gradnorm:1.9e-02, r:8, p:14, sigma:64.000, time:352.53s
Iter 132, obj:-49.66533182, gap:1.5e-04, pinf:6.5e-04, dinf:1.1e-04, gradnorm:2.0e-02, r:8, p:14, sigma:64.000, time:355.12s
Iter 133, obj:-49.66787089, gap:1.8e-04, pinf:6.6e-04, dinf:1.0e-04, gradnorm:1.9e-02, r:8, p:14, sigma:64.000, time:357.69s
Iter 134, obj:-49.66393460, gap:1.3e-04, pinf:6.4e-04, dinf:1.0e-04, gradnorm:2.0e-02, r:8, p:14, sigma:64.000, time:360.27s
Iter 135, obj:-49.66307061, gap:1.3e-04, pinf:6.5e-04, dinf:9.9e-05, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:362.85s
Iter 136, obj:-49.66249171, gap:1.2e-04, pinf:6.3e-04, dinf:1.0e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:365.43s
Iter 137, obj:-49.66378094, gap:1.4e-04, pinf:6.4e-04, dinf:1.0e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:368.03s
